"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BEML","EQ","17-Mar-2021","       1377.50","       1391.00","       1420.70","       1350.10","       1371.00","       1375.45","       1394.98","    1282165","          1788591871.95","      51217","     160411","         12.51"
"BEML","EQ","18-Mar-2021","       1375.45","       1397.65","       1404.80","       1276.75","       1311.00","       1306.65","       1338.63","     935260","          1251966319.05","      42473","     169776","         18.15"
"BEML","EQ","19-Mar-2021","       1306.65","       1302.00","       1374.80","       1235.65","       1357.70","       1342.70","       1289.83","    1051422","          1356154309.45","      48949","     140572","         13.37"
"BEML","EQ","22-Mar-2021","       1342.70","       1390.00","       1419.95","       1360.10","       1384.90","       1387.10","       1396.14","    1563755","          2183219035.10","      57410","     241505","         15.44"
"BEML","EQ","23-Mar-2021","       1387.10","       1404.00","       1413.80","       1341.00","       1355.00","       1357.85","       1381.12","     956647","          1321242673.20","      44396","     207233","         21.66"
"BEML","EQ","24-Mar-2021","       1357.85","       1351.50","       1351.50","       1298.00","       1308.00","       1306.85","       1323.59","     491964","           651158632.70","      24589","      98410","         20.00"
"BEML","EQ","25-Mar-2021","       1306.85","       1300.00","       1300.00","       1243.30","       1259.00","       1264.50","       1265.16","     650578","           823086298.95","      32950","      98564","         15.15"
"BEML","EQ","26-Mar-2021","       1264.50","       1279.00","       1315.00","       1264.60","       1276.00","       1276.90","       1282.33","     521229","           668387977.95","      24930","      60313","         11.57"
"BEML","EQ","30-Mar-2021","       1276.90","       1288.75","       1307.00","       1265.45","       1281.00","       1277.75","       1284.07","     344081","           441825622.40","      18442","      72318","         21.02"
"BEML","EQ","31-Mar-2021","       1277.75","       1278.00","       1281.30","       1251.40","       1254.05","       1255.75","       1264.45","     241826","           305776620.55","      13595","      55304","         22.87"
"BEML","EQ","01-Apr-2021","       1255.75","       1261.50","       1332.90","       1255.85","       1317.00","       1319.55","       1294.40","     563017","           728769148.65","      25391","      86299","         15.33"
"BEML","EQ","05-Apr-2021","       1319.55","       1305.00","       1307.95","       1205.55","       1232.55","       1235.95","       1244.26","     786274","           978328894.60","      36742","     199311","         25.35"
"BEML","EQ","06-Apr-2021","       1235.95","       1245.00","       1280.00","       1218.10","       1255.45","       1265.40","       1252.05","     578103","           723816482.25","      26418","      69032","         11.94"
"BEML","EQ","07-Apr-2021","       1265.40","       1264.00","       1314.00","       1244.00","       1279.00","       1285.55","       1283.34","     781088","          1002401269.60","      36164","     116504","         14.92"
"BEML","EQ","08-Apr-2021","       1285.55","       1285.00","       1304.90","       1267.00","       1277.40","       1279.90","       1288.10","     380212","           489750585.60","      19337","      55844","         14.69"
"BEML","EQ","09-Apr-2021","       1279.90","       1277.00","       1284.95","       1260.60","       1265.00","       1267.05","       1269.97","     249155","           316419372.35","      13214","      41777","         16.77"
"BEML","EQ","12-Apr-2021","       1267.05","       1215.00","       1236.75","       1155.55","       1173.00","       1169.65","       1186.67","     457096","           542424370.60","      27548","     123673","         27.06"
"BEML","EQ","13-Apr-2021","       1169.65","       1183.50","       1220.00","       1178.10","       1199.00","       1203.95","       1199.29","     334403","           401047734.15","      18392","      61201","         18.30"
"BEML","EQ","15-Apr-2021","       1203.95","       1186.50","       1227.95","       1182.20","       1210.00","       1210.30","       1203.98","     317131","           381819748.35","      18468","      50747","         16.00"
"BEML","EQ","16-Apr-2021","       1210.30","       1215.00","       1243.75","       1203.25","       1204.00","       1215.40","       1224.96","     303623","           371925647.85","      16525","      52339","         17.24"
"BEML","EQ","19-Apr-2021","       1215.40","       1151.00","       1175.00","       1120.05","       1154.20","       1154.80","       1157.87","     204012","           236219199.40","      12168","      51882","         25.43"
"BEML","EQ","20-Apr-2021","       1154.80","       1175.00","       1191.50","       1137.95","       1160.30","       1163.60","       1168.67","     278369","           325321739.75","      13893","      49473","         17.77"
"BEML","EQ","22-Apr-2021","       1163.60","       1140.00","       1182.00","       1140.00","       1164.05","       1172.70","       1160.11","     246449","           285907173.45","      12772","      53716","         21.80"
"BEML","EQ","23-Apr-2021","       1172.70","       1161.50","       1178.95","       1119.00","       1120.00","       1128.10","       1148.82","     264466","           303822639.40","      13670","      88635","         33.51"
"BEML","EQ","26-Apr-2021","       1128.10","       1134.00","       1155.00","       1130.00","       1134.00","       1138.85","       1143.88","     170566","           195106277.45","       9565","      39019","         22.88"
"BEML","EQ","27-Apr-2021","       1138.85","       1139.60","       1198.00","       1138.00","       1190.00","       1184.60","       1168.22","     309038","           361023791.65","      15565","      96399","         31.19"
"BEML","EQ","28-Apr-2021","       1184.60","       1194.95","       1224.00","       1170.00","       1172.05","       1178.60","       1201.74","     294584","           354013292.15","      14154","      73145","         24.83"
"BEML","EQ","29-Apr-2021","       1178.60","       1188.80","       1198.80","       1159.55","       1162.45","       1164.50","       1176.55","     197733","           232643381.05","      10871","      47180","         23.86"
"BEML","EQ","30-Apr-2021","       1164.50","       1151.00","       1208.00","       1148.00","       1162.00","       1167.15","       1182.25","     429313","           507554603.90","      19459","      66259","         15.43"
