"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ALEMBICLTD","EQ","16-Apr-2021","        102.60","        103.10","        107.45","        102.65","        103.65","        103.60","        104.48","     667292","            69717566.60","       6502","     160625","         24.07"
"ALEMBICLTD","EQ","19-Apr-2021","        103.60","        102.00","        102.50","         99.00","        100.65","        100.70","        101.07","     502855","            50821343.10","       5622","     184363","         36.66"
"ALEMBICLTD","EQ","20-Apr-2021","        100.70","        101.40","        109.70","        101.10","        104.80","        105.05","        105.65","    1669538","           176384768.50","      15189","     382740","         22.92"
"ALEMBICLTD","EQ","22-Apr-2021","        105.05","        105.10","        112.60","        105.10","        109.30","        110.45","        109.94","    2448975","           269241858.80","      22364","     704342","         28.76"
"ALEMBICLTD","EQ","23-Apr-2021","        110.45","        110.90","        114.70","        106.65","        108.80","        109.00","        111.64","    1830033","           204298321.95","      17605","     506434","         27.67"
"ALEMBICLTD","EQ","26-Apr-2021","        109.00","        110.25","        114.45","        106.90","        113.10","        112.25","        111.55","    1842015","           205485439.60","      17145","     533016","         28.94"
"ALEMBICLTD","EQ","27-Apr-2021","        112.25","        113.00","        114.40","        110.70","        111.30","        111.40","        112.52","     937341","           105465569.60","       8847","     342083","         36.50"
"ALEMBICLTD","EQ","28-Apr-2021","        111.40","        111.40","        111.75","        108.40","        109.25","        109.05","        110.03","     480058","            52822882.55","       4914","     181756","         37.86"
"ALEMBICLTD","EQ","29-Apr-2021","        109.05","        109.50","        110.50","        106.15","        106.95","        106.95","        108.50","     474089","            51440068.55","       5360","     154507","         32.59"
"ALEMBICLTD","EQ","30-Apr-2021","        106.95","        105.60","        111.20","        105.00","        110.00","        110.05","        109.38","    1010503","           110532256.65","      10147","     385328","         38.13"
